County,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,De La Fuente_Rocky,Carson_Ben,Fiorina_Carly,Christie_Chris,Trump_Donald,Bush_Jeb,Kasich_John,Graham_Lindsey,Rubio_Marco,Huckabee_Mike,Paul_Rand,Santorum_Rick,Cruz_Ted
Autauga,544,2387,3,6,1764,8,8,5387,57,421,3,1785,32,25,5,2482
Baldwin,2709,5307,31,15,4251,27,49,23756,230,3005,16,9761,105,118,39,8624
Barbour,222,2567,8,3,417,1,6,1710,10,123,4,498,9,3,0,609
Bibb,246,942,10,4,393,3,3,1959,17,84,1,444,15,6,1,1011
Blount,395,564,5,3,1523,10,12,7390,56,337,4,1843,78,25,13,3698
Bullock,178,2461,9,7,47,0,0,313,7,23,0,64,1,2,0,94
Butler,156,2196,5,3,377,0,3,1720,21,86,1,427,6,3,4,534
Calhoun,1478,5111,19,13,2436,19,20,9286,133,984,6,3362,75,49,16,4005
Chambers,312,2899,8,9,595,4,7,2169,36,168,1,595,12,12,2,914
Cherokee,268,712,10,7,534,4,3,2777,20,151,3,810,29,6,7,921
Chilton,255,831,2,3,1078,6,10,4967,59,203,5,1361,49,10,8,2131
Choctaw,273,1772,18,15,169,2,2,1070,20,68,1,315,11,6,1,451
Clarke,213,3148,3,3,410,0,8,2308,15,125,1,805,18,2,1,886
Clay,135,814,7,3,496,6,4,1923,43,125,3,506,21,9,3,846
Cleburne,72,221,0,2,437,5,6,2120,68,106,3,598,25,15,7,928
Coffee,389,1493,7,2,1368,11,13,4304,67,377,4,1608,40,29,9,2421
Colbert,1342,3879,56,36,884,4,3,3858,15,250,2,1443,17,19,3,1601
Conecuh,544,2034,21,21,137,1,0,769,8,17,1,141,6,3,1,208
Coosa,125,1012,4,2,201,3,3,1233,10,66,1,241,6,2,5,435
Covington,188,737,4,5,1275,4,17,4608,77,324,8,1277,41,15,5,1773
Crenshaw,107,908,5,2,286,1,7,1496,12,70,2,250,1,2,2,602
Cullman,723,1275,12,7,2301,9,26,10618,77,558,5,2832,65,44,24,4248
Dale,415,1544,10,3,1150,9,11,4151,56,333,3,1194,56,31,6,2008
Dallas,1774,8577,168,75,46,0,0,523,8,23,0,76,5,0,1,181
Dekalb,667,1297,21,7,1285,5,8,6247,51,325,5,2837,51,28,3,2153
Elmore,694,3019,9,5,2630,6,16,8525,95,634,6,2387,50,50,15,3236
Escambia,226,2027,0,4,585,3,7,2817,28,194,1,1028,21,13,3,978
Etowah,1289,4262,24,7,2098,9,20,8657,77,616,6,3155,52,36,21,3891
Fayette,148,660,7,4,488,2,5,2479,25,124,0,663,44,8,3,1043
Franklin,767,1233,43,17,388,2,6,2155,14,107,0,562,20,8,4,892
Geneva,157,544,8,1,592,5,9,3106,42,146,2,829,35,15,7,1517
Greene,213,2714,14,12,19,0,1,147,2,10,0,33,1,0,1,59
Hale,427,2426,8,9,88,1,2,590,2,24,1,132,3,0,0,283
Henry,163,1170,5,3,436,1,6,1778,21,107,0,545,11,4,3,847
Houston,780,3044,6,3,2310,16,31,8171,138,836,7,3683,89,39,12,4558
Jackson,510,1327,9,4,1185,4,14,5463,40,310,0,1847,48,14,12,1791
Jefferson,14319,67357,121,61,8368,56,72,32853,334,5711,18,23132,162,199,36,22355
Lamar,173,442,11,4,344,2,9,1810,28,103,4,466,37,12,3,692
Lauderdale,1745,3676,22,11,2151,11,24,7502,64,983,3,3320,95,58,28,3265
Lawrence,428,2047,20,18,733,4,6,3604,38,196,7,925,28,10,11,1204
Lee,2464,7137,18,7,2460,14,19,6934,128,1501,8,4734,74,66,14,4880
Limestone,1120,3199,13,7,2061,10,17,8198,70,746,6,3602,47,37,16,4082
Lowndes,330,3782,42,17,88,0,0,500,1,26,0,83,1,1,0,137
Macon,483,4293,8,1,94,1,0,356,4,39,0,92,4,0,0,147
Madison,8786,19995,72,30,6293,58,46,23791,206,3919,15,17116,100,181,49,13622
Marengo,1092,3590,98,54,85,0,0,580,10,26,1,127,3,2,1,228
Marion,251,560,5,6,576,6,7,3454,37,164,6,906,39,13,11,1252
Marshall,821,1494,8,4,1813,12,18,9115,56,595,4,3785,54,30,18,2784
Mobile,5778,29243,55,34,4873,45,64,28594,308,2904,15,11970,121,170,45,13538
Monroe,205,2441,4,5,373,0,2,1967,20,108,2,596,20,8,5,658
Montgomery,4266,28650,56,22,3379,27,26,10517,169,1953,7,5570,65,62,9,4700
Morgan,1349,3903,16,8,2796,13,27,10937,62,1110,4,4492,67,48,11,4839
Perry,389,2575,30,11,15,0,0,192,2,2,0,33,1,0,0,123
Pickens,453,2326,30,11,287,0,2,1124,17,65,1,353,24,3,0,658
Pike,379,2183,9,3,698,1,8,2493,43,172,2,798,22,16,9,1092
Randolph,328,1236,19,6,426,3,2,2352,35,133,3,584,25,7,3,942
Russell,988,4381,44,24,298,4,6,1784,20,106,3,463,9,9,3,1016
Shelby,3755,6657,20,13,5005,36,46,18260,200,2679,11,12213,100,135,26,14005
St. Clair,745,1808,7,6,2093,11,12,8596,80,518,5,2586,43,36,10,5178
Sumter,416,2987,44,21,21,0,0,166,4,4,0,39,1,0,0,45
Talladega,782,5561,15,6,1179,5,13,6304,73,470,3,1676,43,19,10,2468
Tallapoosa,308,2658,10,10,1006,3,22,4658,55,371,2,1289,24,13,11,1325
Tuscaloosa,3444,12136,33,22,3310,15,29,11652,128,1381,9,6333,91,67,18,7789
Walker,727,1772,17,9,1369,7,17,8394,68,362,5,1652,49,20,12,3106
Washington,562,1511,39,25,152,0,2,1269,5,27,0,362,5,1,3,516
Wilcox,410,3337,23,33,44,0,0,287,3,12,0,64,2,1,0,114
Winston,139,303,3,1,539,6,8,3352,27,163,2,708,22,10,6,1076
,,,,,,,,,,,,,,,,