State House District,Clinton_Hillary,Sanders_Bernie,De La Fuente_Rocky,Carson_Ben,Cruz_Ted,Kasich_John,Rubio_Marco,Trump_Donald
1,47,178,0,26,151,12,62,134
2,17,71,0,22,103,7,31,90
3,10,91,0,53,262,15,64,147
4,102,525,0,61,279,26,98,154
5,57,373,0,36,191,23,81,128
6,0,195,0,55,138,7,45,111
7,29,116,0,97,291,9,87,304
8,12,98,0,90,405,20,79,464
9,41,130,0,172,419,19,129,320
10,21,112,0,80,283,18,83,358
11,28,160,0,131,455,37,118,323
12,16,121,1,144,410,44,142,315
13,30,100,0,67,216,10,92,154
14,71,154,0,134,397,41,215,327
15,20,112,0,31,108,7,34,71
16,60,232,0,44,155,22,66,139
17,80,239,0,9,102,25,60,112
18,86,352,0,17,108,25,69,126
19,53,128,0,10,42,8,19,48
20,134,294,0,16,60,24,54,57
21,109,241,0,38,142,28,106,154
22,50,209,0,52,187,33,126,233
23,29,172,0,33,105,16,33,116
24,82,153,0,57,195,32,143,184
25,56,175,0,33,171,20,87,161
26,69,154,0,77,244,41,141,200
27,70,204,0,58,265,24,105,182
28,102,257,0,113,274,56,167,302
29,42,176,0,119,406,35,105,392
30,49,144,0,101,375,27,115,369
31,67,504,0,122,382,27,100,364
32,41,271,0,77,115,22,61,152
33,176,837,0,41,88,47,66,85
34,88,307,0,45,152,15,90,131
35,83,342,0,28,76,16,54,99
36,47,229,0,68,142,42,156,246
37,29,104,0,18,41,3,10,37
38,13,67,0,17,9,5,6,4
39,19,55,0,8,23,4,14,44
40,11,65,0,1,6,0,5,9