County,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Huckabee_Mike,Kasich_John,Messina_Peter,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,Sanders_Bernie,Clinton_Hillary,De La Fuente_Rocky
Ada,172,724,68,20156,53,14,70,5306,2,170,8074,45,15191,7336,1663,1
Adams,4,5,3,292,2,1,1,64,0,5,97,1,354,48,19,0
Bannock,34,160,9,4404,10,5,12,494,0,21,2017,12,1711,1197,301,1
Bear Lake,14,42,3,643,1,0,5,92,0,6,330,8,363,25,12,0
Benewah,6,14,3,671,3,1,3,80,1,8,87,1,427,49,20,0
Bingham,39,138,14,3471,18,1,15,304,0,22,1761,8,1191,181,55,1
Blaine,11,23,1,370,2,3,6,358,0,7,238,1,543,539,249,0
Boise,7,31,8,531,2,0,6,142,1,9,161,1,681,76,36,0
Bonner,23,107,14,3132,8,7,10,587,0,40,509,5,2410,716,185,0
Bonneville,59,231,29,7794,11,5,14,1070,3,59,4901,13,2702,822,217,0
Boundary,6,39,3,901,1,3,4,107,0,7,131,0,788,158,27,0
Butte,3,6,0,275,1,0,1,30,0,3,117,0,138,20,5,0
Camas,1,11,1,75,0,2,0,38,1,3,47,2,130,11,7,0
Canyon,80,410,32,11164,25,9,29,1376,3,83,2987,16,7341,1312,278,0
Caribou,12,35,3,602,2,0,0,87,1,8,299,1,304,7,3,0
Cassia,68,144,12,2095,6,2,4,245,0,26,819,8,1025,57,36,0
Clark,0,5,1,62,0,0,0,7,0,0,56,1,44,4,0,0
Clearwater,4,29,8,477,3,0,4,89,1,4,149,3,629,53,38,0
Custer,8,22,4,285,3,2,3,91,1,3,174,3,415,31,12,0
Elmore,18,40,6,892,4,4,7,209,0,7,378,1,1252,156,77,0
Franklin,21,66,5,1173,9,1,5,127,0,16,495,4,399,36,25,0
Fremont,10,46,6,1434,4,0,4,155,0,12,595,3,498,24,5,0
Gem,10,42,8,1391,1,0,7,159,0,14,353,4,1230,131,50,0
Gooding,11,36,3,863,0,0,3,133,0,6,210,1,679,49,28,0
Idaho,38,134,7,1495,3,2,21,266,3,30,361,6,1667,90,48,0
Jefferson,12,84,5,3080,4,2,4,189,0,18,1323,4,853,101,24,0
Jerome,10,36,8,1164,3,0,3,185,1,3,231,2,754,107,32,0
Kootenai,68,336,23,11924,13,2,24,1528,4,88,1880,10,6516,1561,493,1
Latah,15,90,9,2102,4,0,10,324,0,13,430,1,894,1612,310,0
Lemhi,8,51,5,597,2,1,9,198,0,12,335,2,757,71,17,0
Lewis,5,18,2,263,1,0,7,48,0,3,75,1,286,19,20,0
Lincoln,3,15,0,279,0,0,3,51,0,2,77,0,248,22,15,0
Madison,22,131,6,4079,5,3,10,352,1,23,1925,6,539,216,47,0
Minidoka,16,43,0,1163,1,0,5,137,0,3,376,4,755,51,26,0
Nez Perce,19,93,6,1583,4,2,6,323,0,24,461,8,1419,383,155,0
Oneida,2,14,1,473,2,0,1,37,0,9,110,0,141,6,5,0
Owyhee,6,15,1,717,0,1,4,62,0,4,149,3,708,40,22,0
Payette,13,55,2,1364,3,1,5,217,1,12,396,5,1289,91,46,0
Power,8,20,0,421,0,0,3,57,0,2,183,0,184,45,19,0
Shoshone,11,32,4,591,3,1,6,86,0,11,146,1,632,85,45,0
Teton,4,20,2,465,0,0,1,101,0,1,196,1,238,311,84,0
Twin Falls,36,167,18,4717,13,4,17,661,1,24,1202,12,2757,522,201,0
Valley,7,25,4,476,5,1,2,197,0,3,188,0,575,198,73,0
Washington,15,68,6,783,7,0,4,145,3,10,261,3,756,71,35,0