County,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Huckabee_Mike,Kasich_John,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,Clinton_Hillary,De La Fuente_Rocky,Sanders_Bernie
Allegany ,89,204,30,1820,15,30,1282,32,83,18,6486,2476,47,2727
Anne Arundel ,330,676,160,9866,112,91,15950,169,424,45,32081,37726,359,26205
Baltimore City ,97,215,59,1977,59,28,2862,72,102,21,4186,87762,395,42285
Baltimore ,310,838,191,10593,133,92,15188,225,359,70,38247,77052,948,50641
Calvert ,77,151,24,2331,17,31,1999,45,94,10,6571,5440,72,3490
Caroline ,15,55,6,661,2,5,510,8,15,2,2590,1167,27,959
Carroll ,145,503,79,6060,57,34,6501,82,179,19,16942,7017,108,7299
Cecil ,49,178,39,2442,19,28,1879,53,64,10,7557,3534,53,3562
Charles ,57,121,26,2304,32,26,1608,29,92,17,6440,15685,82,6623
Dorchester ,15,49,10,499,6,5,554,7,21,3,2841,2149,36,1080
Frederick ,182,380,62,7716,51,58,6493,135,224,35,16011,14735,126,12844
Garrett ,38,137,15,1480,10,32,986,14,40,10,3723,821,16,939
Harford ,153,525,94,5887,67,59,7187,119,210,26,22376,13913,215,11489
Howard ,171,262,72,5477,99,29,10299,108,219,37,12238,32139,170,20316
Kent ,14,36,8,341,2,5,553,5,17,1,1449,1532,13,1080
Montgomery ,455,372,151,11168,152,82,17953,176,480,52,19689,122881,381,59157
Prince George's ,168,250,59,3664,58,49,3592,63,162,37,6105,120978,222,40815
Queen Anne's ,38,100,21,1232,7,4,1543,15,45,2,5329,2458,35,1851
St. Mary's ,92,177,31,2798,33,48,2285,45,93,23,6852,4892,66,3725
Somerset ,6,46,5,486,4,3,252,1,8,3,1747,1207,19,668
Talbot ,34,70,17,868,10,5,1563,19,38,3,3253,2710,16,1550
Washington ,180,336,48,4554,43,69,2673,76,154,23,12352,6211,82,5189
Wicomico ,34,175,20,1916,16,15,1702,30,44,5,7214,5543,51,3410
Worcester ,21,90,12,953,8,9,1200,5,34,6,6064,3214,43,2086