County,De La Fuente_Rocky,Sanders_Bernie,O'Malley_Martin,Clinton_Hillary,Trump_Donald,Santorum_Rick,Rubio_Marco,Paul_Rand,Pataki_George,Kasich_John,Huckabee_Mike,Graham_Lindsey,Fiorina_Carly,Cruz_Ted,Christie_Chris,Carson_Ben,Bush_Jeb
Alcona,1,455,5,463,1111,4,138,8,2,340,2,0,4,460,5,27,13
Alger,1,622,3,384,517,0,99,5,0,281,4,0,1,318,2,20,4
Allegan,8,5545,8,3489,5327,20,1981,52,6,4636,40,6,16,7530,36,362,164
Alpena,4,1347,11,1102,1885,3,318,16,3,785,6,0,2,1125,8,60,24
Antrim,0,1491,5,867,1969,11,424,9,2,1025,10,4,5,1201,17,91,44
Arenac,3,663,5,595,1141,2,178,4,0,328,3,2,3,472,4,34,21
Baraga,0,371,3,270,468,2,96,3,1,197,3,2,1,239,1,19,5
Barry,2,3078,12,1736,3478,13,875,33,2,2191,25,3,6,3449,38,251,85
Bay,16,6363,41,5937,5738,17,1248,45,6,2304,22,4,13,3631,32,215,127
Benzie,0,1650,2,853,1278,7,264,7,1,674,7,2,4,782,8,52,23
Berrien,9,5952,35,6646,7817,34,2359,60,13,4219,48,8,25,6603,72,473,245
Branch,5,1246,5,1010,2455,8,482,12,6,1244,24,3,4,1535,11,123,45
Calhoun,12,5810,27,5230,5800,27,1430,45,11,3321,49,6,25,4446,43,346,153
Cass,3,1683,13,1657,2859,11,566,22,6,1048,18,3,5,2470,25,116,45
Charlevoix,0,1730,10,1044,1886,5,455,19,2,1208,11,1,2,1182,14,85,35
Cheboygan,1,1318,5,1010,2089,6,354,14,2,815,5,0,6,1082,17,47,33
Chippewa,3,1789,7,1230,1959,14,427,14,2,904,13,5,4,1320,9,87,45
Clare,0,1239,10,1090,1996,8,334,9,2,636,11,3,1,1060,7,92,26
Clinton,6,4524,15,3409,3777,18,1290,48,8,3357,30,5,6,3619,33,233,123
Crawford,2,631,4,494,1108,3,189,8,1,370,2,1,3,470,17,38,20
Delta,7,1705,8,1409,1954,3,434,29,4,874,14,3,6,1402,15,83,29
Dickinson,3,1075,2,908,1708,3,352,9,1,876,11,0,3,1226,7,80,22
Eaton,11,7007,32,5560,5386,24,1636,59,11,3415,31,5,17,4496,56,311,189
Emmet,3,2589,8,1369,2244,11,677,20,2,1557,10,1,9,1564,22,106,54
Genesee,39,28117,85,31284,16756,67,3630,124,14,7730,97,16,28,9824,82,760,301
Gladwin,5,1083,7,985,1774,8,304,16,2,665,20,0,2,927,16,74,32
Gogebic,1,790,3,678,753,0,173,7,3,325,1,2,1,399,4,12,9
Gd. Traverse,8,8091,30,4140,5891,29,1890,83,7,3925,47,6,20,4557,69,321,191
Gratiot,1,1812,9,1185,1799,7,383,16,1,819,17,3,3,1619,11,80,41
Hillsdale,6,1380,10,977,3060,13,547,22,7,1321,12,2,7,2095,17,192,49
Houghton,1,2039,4,1109,1375,6,439,17,3,926,7,3,9,1497,5,71,24
Huron,4,1184,9,1050,2346,8,515,14,6,1056,19,1,10,1250,20,64,45
Ingham,35,22503,60,17824,7979,36,3024,110,20,7649,66,18,40,6968,94,482,360
Ionia,6,2812,15,1491,2676,7,685,27,0,1783,22,3,7,2630,17,142,78
Iosco,1,1202,3,1077,1973,6,326,10,3,608,9,1,1,676,9,57,27
Iron,0,546,0,527,868,3,103,6,1,333,6,0,3,462,0,28,12
Isabella,3,4024,9,2032,2180,11,704,17,7,1330,11,5,5,1685,17,102,35
Jackson,13,6804,43,5288,8113,20,1929,60,11,4380,36,7,13,5199,50,420,159
Kalamazoo,23,20146,52,12593,8655,39,3795,83,18,9104,78,10,45,8878,100,625,330
Kalkaska,3,987,5,590,1724,9,265,14,2,523,5,2,3,790,8,60,22
Kent,43,43375,111,25899,22742,90,11542,253,46,25562,209,25,101,35185,211,1850,844
Keweenaw,0,188,0,128,184,0,50,2,0,76,0,0,1,105,1,12,1
Lake,1,514,0,548,803,1,99,4,1,237,2,0,0,382,1,30,12
Lapeer,10,4650,26,3319,7446,32,1160,73,5,3012,34,1,12,3821,35,334,98
Leelanau,2,2222,8,1459,1613,4,542,15,3,1251,7,1,7,1160,18,79,49
Lenawee,5,4256,21,3455,5167,12,1028,28,3,3713,26,3,7,3904,22,214,92
Livingston,7,10435,38,6705,15359,47,3340,89,13,9383,69,6,35,9324,71,485,264
Luce,1,291,1,167,407,0,66,5,0,154,1,0,1,242,5,14,17
Mackinac,3,633,4,500,856,2,172,6,2,416,5,2,2,439,3,31,8
Macomb,69,46242,287,47597,60492,158,10206,324,44,27534,163,34,133,19988,238,1652,1019
Manistee,4,1646,5,1120,1552,5,280,10,2,756,9,0,2,979,4,57,27
Marquette,9,5530,27,3188,2524,14,691,35,2,1984,22,4,6,2094,15,118,61
Mason,1,1741,6,1223,1785,9,458,17,3,993,16,3,1,1546,10,70,37
Mecosta,1,1767,12,1173,2113,8,521,19,5,943,10,2,12,1780,18,122,76
Menominee,2,805,8,835,1304,3,266,9,1,421,4,0,4,707,6,51,22
Midland,7,4568,20,3097,3909,27,1506,47,5,3366,30,5,13,4720,30,203,93
Missaukee,0,591,1,399,1221,7,254,12,4,537,10,2,1,887,13,65,20
Monroe,15,6842,47,6716,8802,25,1413,60,4,5482,37,5,22,5049,55,306,115
Montcalm,1,2119,16,1344,2624,15,562,16,2,1248,13,2,11,2488,20,175,60
Montmorency,1,383,1,392,1046,1,155,13,1,325,5,0,4,403,0,38,16
Muskegon,25,10062,47,8220,5757,25,1875,48,7,3706,33,6,21,6478,56,282,155
Newaygo,4,2139,8,1290,2660,10,618,23,5,1417,27,2,9,3557,23,158,64
Oakland,99,84158,270,92296,69399,195,18536,450,66,61053,255,50,248,33634,429,2296,1472
Oceana,5,1237,6,791,1339,5,331,16,2,924,9,0,6,1698,6,77,40
Ogemaw,2,926,8,862,1612,3,222,12,0,489,7,1,1,700,6,64,34
Ontonagon,1,362,4,327,519,3,95,5,0,203,3,1,2,209,7,13,9
Osceola,3,953,6,670,1812,7,294,17,2,645,10,5,1,1276,12,71,27
Oscoda,0,315,1,273,705,1,90,1,0,247,5,1,3,369,1,39,14
Otsego,4,1228,9,786,1933,5,342,9,0,800,13,4,7,1040,12,60,25
Ottawa,14,13960,46,7472,11386,82,7030,148,14,13783,143,19,47,23371,117,1177,484
Presque Isle,2,606,9,592,916,3,216,2,0,423,3,0,5,524,4,24,11
Roscommon,4,1187,6,1163,2257,8,409,13,1,726,20,0,19,748,21,106,65
Saginaw,25,9619,38,12348,9106,30,2067,65,8,4404,34,6,18,6536,76,364,162
St. Clair,16,5165,34,3665,11995,38,1777,78,19,5093,38,7,41,4846,51,441,161
St. Joseph,4,2219,13,1382,2528,10,600,22,5,1691,13,5,4,2655,17,147,51
Sanilac,2,1485,16,1160,3279,19,568,27,7,1407,34,5,8,1588,19,143,62
Schoolcraft,2,345,1,312,529,3,78,0,1,242,4,1,0,217,5,19,5
Shiawassee,7,4452,16,3031,3864,26,876,43,9,1853,41,4,6,2745,19,185,90
Tuscola,3,2532,14,1984,3750,19,658,32,5,1268,27,2,5,2668,27,163,67
Van Buren,8,3656,10,2484,3287,17,932,27,4,2092,17,2,9,2579,23,170,80
Washtenaw,36,38063,70,30022,10206,42,4101,117,22,12643,67,14,35,8574,64,468,266
Wayne,159,104900,431,163617,55587,180,11492,376,67,37862,246,62,164,25020,314,1947,1038
Wexford,5,1793,9,909,2578,6,395,19,0,1059,18,0,6,1521,10,98,30