County,Trump_Donald,Bush_Jeb,Carson_Ben,Cruz_Ted,Fiorina_Carly,Kasich_John,Clinton_Hillary,Sanders_Bernie
Bernalillo,21321,1183,1087,3998,611,3250,37175,38501
Catron,506,15,22,68,6,14,116,183
Chaves,3618,124,177,553,30,202,1238,952
Cibola,677,32,31,151,12,40,1593,1500
Colfax,570,19,46,110,12,61,949,743
Curry,2593,76,145,355,24,126,677,769
De Baca,151,4,10,21,0,13,96,114
Dona Ana,4936,270,313,1034,105,687,9215,7372
Eddy,3415,95,172,496,18,178,1571,1341
Grant,1254,44,53,207,15,90,2274,2270
Guadalupe,66,7,5,30,1,1,399,332
Harding,107,6,11,29,1,7,75,46
Hidalgo,285,5,19,41,4,11,517,323
Lea,3113,95,162,447,23,126,707,651
Lincoln,2181,66,83,273,31,132,517,527
Los Alamos,789,89,101,221,48,327,1426,1412
Luna,1124,47,43,143,17,79,918,714
McKinley,771,138,85,300,24,90,4864,3361
Mora,123,11,7,51,4,5,984,603
Otero,3307,130,159,613,56,250,1341,1210
Quay,698,34,24,120,7,32,474,445
Rio Arriba,473,38,21,134,14,49,5043,3360
Roosevelt,966,47,65,146,8,55,282,392
San Juan,5755,268,290,1214,94,393,3020,2737
San Miguel,349,24,24,127,13,33,3443,2365
Sandoval,5690,203,261,1066,133,596,7490,7008
Santa Fe,2868,173,133,630,79,563,16131,15777
Sierra,1013,27,32,94,5,57,401,532
Socorro,753,50,53,184,15,92,1055,1027
Taos,460,36,18,135,17,70,3302,4359
Torrance,1023,35,40,270,20,57,651,655
Union,314,17,12,59,6,14,154,190
Valencia,2618,109,121,591,54,219,3127,2885