Town,Clinton_Hillary,Sanders_Bernie,De La Fuente_Rocky,Stewart_Mark,Kasich_John,Trump_Donald,Cruz_Ted,Rubio_Marco
Barrington ,1490,1398,2,1,700,687,144,14
Bristol ,1165,1302,1,3,412,776,137,12
Burrillville ,451,849,1,4,197,924,120,9
Central Falls ,850,580,2,3,17,93,14,1
Charlestown ,413,741,0,3,201,475,66,4
Coventry ,1194,2019,5,7,513,2058,271,12
Cranston ,3438,4473,11,6,979,3711,392,31
Cumberland ,1804,2409,12,12,650,1404,269,14
East Greenwich ,762,735,0,1,616,824,105,11
East Providence ,2489,3078,10,13,461,1271,245,9
Exeter ,239,450,1,1,164,484,80,3
Foster ,144,341,2,0,105,357,50,1
Glocester ,306,694,2,1,150,684,118,3
Hopkinton ,243,549,1,4,99,431,89,4
Jamestown ,542,686,1,0,230,319,53,3
Johnston ,1331,1660,7,16,176,1195,142,11
Lincoln ,1008,1326,3,4,423,1190,167,7
Little Compton ,255,314,0,0,113,268,40,3
Middletown ,693,975,3,1,288,524,136,9
Narragansett ,921,1221,5,2,404,759,114,4
New Shoreham ,107,196,0,1,29,50,10,2
Newport ,1169,1552,4,1,384,586,117,6
North Kingstown ,1454,2185,5,8,952,1504,301,14
North Providence ,1702,2057,8,10,205,960,146,12
North Smithfield ,518,754,1,2,258,759,146,5
Pawtucket,3430,3409,7,26,272,1105,182,11
Portsmouth,927,1260,2,1,571,908,243,20
Providence ,10006,9247,12,20,661,1020,276,25
Richmond ,283,599,1,2,179,510,112,8
Scituate ,304,640,2,1,228,924,121,4
Smithfield ,814,1069,3,7,329,1026,168,3
South Kingstown ,1629,2697,3,6,655,974,207,8
Tiverton ,847,1104,1,5,252,920,121,7
Warren ,555,807,0,1,144,383,68,4
Warwick ,3964,5888,9,16,1419,4316,596,29
West Greenwich ,183,365,1,1,147,525,90,3
West Warwick ,1059,1397,2,5,278,1214,152,12
Westerly ,847,1220,2,1,421,963,156,8
Woonsocket,1322,1674,3,6,176,1017,143,12