County,Clinton_Hillary,Sanders_Bernie,Carson_Ben,Cruz_Ted,Kasich_John,Trump_Donald
Adams,398,321,83,204,92,1264
Asotin,1191,981,162,284,211,2549
Benton,6324,6125,966,2798,1699,16386
Chelan,3471,3143,432,946,851,7578
Clallam,5537,5495,460,994,834,8116
Clark,24368,25692,1581,4688,4297,34135
Columbia,189,183,39,71,62,707
Cowlitz,6127,5889,473,1158,878,9732
Douglas,1369,1085,176,457,344,4059
Ferry,299,463,74,110,65,1046
Franklin,2054,1805,301,982,370,4738
Garfield,94,93,19,87,39,321
Grant,2377,2085,460,931,496,7970
Grays Harbor,3652,3610,229,413,384,5508
Island,6518,5920,403,1558,1458,7529
Jefferson,3859,4674,139,247,439,2706
King,160699,119431,3488,11237,16464,75445
Kitsap,16661,16512,1078,2835,2631,17930
Kittitas,1687,1884,163,377,330,4027
Klickitat,1228,1571,149,348,246,2757
Lewis,2771,3310,426,1018,599,9254
Lincoln,426,365,118,254,141,1816
Mason,3768,3763,241,716,513,5706
Okanogan,1618,2174,209,437,298,4356
Pacific,1600,1542,98,235,187,2401
Pend Oreille,672,780,109,239,116,2001
Pierce,41435,35874,2570,7167,6130,50434
San Juan,1860,2729,58,170,274,1213
Skagit,7397,7861,478,1178,1143,10037
Skamania,603,851,56,134,109,1285
Snohomish,42135,40355,2314,6639,5660,43159
Spokane,25111,25800,2598,7081,4805,41935
Stevens,1753,2092,371,859,363,6412
Thurston,16809,18006,867,2395,2496,17355
Wahkiakum,302,332,16,50,59,633
Walla Walla,2485,2626,462,648,667,5677
Whatcom,12306,18521,915,3092,1601,17255
Whitman,1718,2057,265,519,378,2756
Yakima,7590,6293,803,1616,1225,16835