County,Sanders_Bernie,Clinton_Hillary,Farrell_Paul,Judd_Keith,O'Malley_Martin,De La Fuente_Rocky,Trump_Donald,Cruz_Ted,Kasich_John,Carson_Ben,Paul_Rand,Huckabee_Mike,Bush_Jeb,Rubio_Marco,Christie_Chris,Fiorina_Carly,Hall_David
Barbour,996,690,165,38,36,10,1798,160,98,50,15,19,27,34,9,4,1
Berkeley,3994,3565,220,99,212,22,9187,1278,670,333,103,66,118,226,32,52,9
Boone,2423,1252,739,137,71,45,1395,97,33,25,25,13,10,12,2,6,4
Braxton,1330,902,221,53,69,13,864,90,63,13,12,10,7,6,4,2,1
Brooke,1807,1336,272,54,37,13,1761,147,133,28,11,7,14,32,11,7,2
Cabell,5408,4437,1692,71,84,19,6032,964,924,189,108,67,142,197,35,31,10
Calhoun,854,313,117,52,34,6,517,32,24,15,4,7,3,3,3,3,1
Clay,755,435,215,51,18,7,570,68,34,2,6,11,6,5,2,1,0
Doddridge,236,116,30,7,10,2,1228,141,96,33,8,14,31,20,5,4,2
Fayette,3609,2336,675,160,107,16,2711,241,102,70,15,31,26,27,6,12,0
Gilmer,645,346,123,70,26,10,444,52,21,8,10,2,9,9,2,0,0
Grant,187,167,32,3,11,0,2584,159,90,65,8,33,24,42,4,4,0
Greenbrier,2871,1900,518,63,58,15,3019,373,224,106,30,55,66,46,22,16,3
Hampshire,1056,662,168,35,71,6,2039,303,107,58,17,38,23,32,7,13,0
Hancock,2285,1552,257,41,70,19,2471,224,199,52,31,18,20,48,8,8,4
Hardy,885,656,211,81,71,14,1124,135,51,43,8,25,16,25,3,1,0
Harrison,5406,4214,849,200,297,46,5686,630,428,206,79,60,115,95,55,17,9
Jackson,1810,1447,254,56,47,6,3596,438,355,91,35,67,73,60,16,16,5
Jefferson,3267,2918,150,35,125,9,3873,651,379,143,69,28,54,110,22,23,4
Kanawha,13654,12863,1336,352,193,108,14112,1708,1899,359,184,119,220,295,45,49,27
Lewis,1240,718,189,59,42,11,2150,218,148,44,15,31,28,30,9,8,5
Lincoln,1523,1028,532,98,37,14,1208,115,62,16,12,18,21,9,2,1,1
Logan,3216,1497,1293,210,119,36,1681,93,34,18,7,16,9,12,3,2,1
Marion,5355,3573,827,237,178,39,4074,427,319,137,41,40,60,66,21,31,7
Marshall,2618,1454,334,118,116,26,3090,307,259,69,32,21,25,39,8,12,4
Mason,1781,1226,324,62,39,14,2502,255,297,71,26,43,63,49,9,6,5
McDowell,1488,817,234,72,65,18,785,45,5,8,3,3,0,4,0,4,3
Mercer,3239,2173,542,172,131,47,5539,601,205,97,32,49,47,72,7,24,3
Mineral,1120,857,170,38,75,6,3504,367,178,146,42,52,63,46,18,8,4
Mingo,2432,1078,1190,178,120,35,1166,56,22,14,6,8,7,14,1,2,0
Monongalia,8142,4986,743,88,124,53,6016,858,949,189,124,72,141,207,63,61,13
Monroe,834,609,137,52,31,5,1592,149,81,47,16,24,33,20,8,4,0
Morgan,682,486,24,12,32,2,2825,319,200,76,37,17,34,62,20,10,3
Nicholas,1959,1094,458,120,52,23,2230,176,125,40,16,23,7,29,7,8,1
Ohio,3377,2490,351,70,76,19,3903,506,719,104,55,27,64,84,31,23,8
Pendleton,539,470,88,30,22,2,640,52,38,20,3,8,16,15,2,3,0
Pleasants,551,334,92,14,8,3,863,120,82,28,15,7,13,10,3,4,0
Pocahontas,828,527,88,30,35,6,836,75,49,25,11,9,19,13,2,1,3
Preston,1720,961,248,49,71,15,4205,430,254,122,44,52,69,43,20,20,8
Putnam,3271,2558,379,68,84,21,6423,844,679,198,52,101,84,130,19,19,2
Raleigh,4986,3285,833,220,140,35,7452,768,341,188,76,101,71,101,21,30,5
Randolph,2494,1518,508,150,83,22,2212,280,146,58,20,32,29,38,11,9,4
Ritchie,356,201,39,13,4,1,1753,169,118,60,14,14,38,24,13,9,3
Roane,1004,741,96,24,24,8,1459,163,161,26,14,24,19,23,8,3,2
Summers,1063,781,159,36,33,10,945,156,64,39,16,27,23,13,5,2,4
Taylor,1112,766,180,44,38,5,1657,167,102,63,12,22,23,19,7,6,6
Tucker,773,330,95,44,21,8,798,93,57,15,12,8,19,8,4,3,0
Tyler,436,204,55,20,7,2,1371,146,114,28,7,15,18,19,8,4,2
Upshur,1073,744,154,30,28,3,3288,401,279,94,37,62,59,62,16,16,6
Wayne,2920,1942,1271,118,77,31,2682,377,158,73,56,38,31,41,4,7,2
Webster,841,386,249,47,32,9,429,30,18,4,3,4,10,4,0,2,1
Wetzel,1751,845,344,79,66,12,1101,147,82,34,12,11,17,22,5,1,1
Wirt,438,225,84,22,12,5,606,85,67,18,6,7,11,13,5,2,2
Wood,4560,3193,596,109,94,15,9646,1314,1348,331,138,83,116,235,71,43,11
Wyoming,1500,710,544,69,33,28,1596,101,31,32,8,21,14,8,3,2,1